번호,외래어,원어,순화어
18203,탬퍼링,tampering,사전 접촉 금지 위반
18202,밀 프렙,meal prep,소분식
18201,파인 다이닝,fine dining,고급 식사
18200,텍스트 마이닝,text mining,글 정보 캐기
18199,데이터 마이닝,data mining,정보 채굴
18198,기후플레이션,climateflation,기후발 물가 상승
18197,그린 스완,green swan,기후발 위기
18196,블랙 스완,black swan,예상 밖 위기
18195,스몰 컷,small cut,금리 소폭 인하
18194,빅 컷,big cut,금리 대폭 인하
18193,리와일딩,rewilding,야생 복원
18192,옴니보어,omnivores(영),다취향인
18191,폴리테이너,politainer←politician+entertainer,정치 참여 연예인
18190,북 트레일러,booktrailer,책 소개 영상
18189,욜로족,"YOLO族, YOLO: You Only Live Once",오늘 살이족
18188,젠더 리빌,gender reveal,성별 공개
18187,브라이덜 샤워,bridal shower,예비 신부 파티
18186,베이비 샤워,baby shower,아기 축복 잔치
18185,요노족,YONO族←YONO: You Only Need One,알뜰족
18184,텍스트 힙,text hip,독서 공유
18183,포토 덤프,photo dump,사진 꾸러미
18182,레거시 미디어,Legacy Media,기존 매체
18181,레토릭,rhetoric,미사여구
18180,톱티어/*탑티어,toptier,"최상위, 최고 수준"
18179,패밀리 오피스,family office,집안 자산 관리사
18178,카르텔,kartell / cartel,"① 기업 연합 ② 「1」담합 「2」담합 집단, 이권 공동체"
18177,시즌 그리팅,season’s greetings,① 새해 인사 ② 새해 인사 상품
18176,옴부즈퍼슨,ombudsperson,① 민원 도우미 ② 아동 권리 대변인
18175,쿨케이션,coolcation←cool+vacation,더위 탈출 휴가
18174,런케이션,learncation←learning+vacation,배움 여행
18173,슬로 에이징,slow-aging,"느린 노화, 천천히 늙기"
18172,헬시 플레저,healthy pleasure,즐기는 건강 관리
18171,크루,crew,① 모임 ② 동료
18170,사운드스케이프,soundscape←sound+landscape,소리 풍경
18169,펫 시터,pet sitter,반려동물 돌보미
18168,펫테리어,peterior←pet+interior,"반려동물 인테리어, 동물 친화 장식"
18167,아트테리어,arterior←art+interior,"예술 인테리어, 예술 장식"
18166,테라리엄/*테라리움,terrarium,유리병 정원
18165,오프 리시/*오프 리쉬,off leash,목줄 미착용
18164,로코노미,loconomy←local+economy,지역 특화 경제
18163,로컬 브랜드,local brand,"지역 상표, 지역 대표 상표"
